"OBJECTID","FIPS","FIPS_1","EDU1","EDU1_Z","EDU2","EDU2_Z","EDU3","EDU3_Z","EDU4","EDU4_Z","EDU5","EDU5_Z","EDU6","EDU5_Z1","EDU6_Z","EDU7","EDU7_Z","EDU_COMP","EDU_RANK","EE1","EE1_Z","EE2","EE2_Z","EE3","EE3_Z","EE4","EE4_Z","EE_COMP","EE_RANK","N1","N1_Z","N2","N2_Z","N3","N3_Z","N4","N4_Z","N5","N5_Z","N6","N6_Z","N_COMP","N_RANK","COMP","COMP_RANK","COMP_OPP"
1043,26099258200,,24.242424,-0.02239,27.044025,-2.20978,3.773585,0.727697,45.546218,-0.623508,42.569096,-1.177506,13.097727,-1.177506,-1.158511,71.448931,-0.871844,-0.762263,1,6.25,-0.415836,42222,-0.43231,22.022838,-0.610847,-20.195521,-0.079581,-0.384644,2,8.920986,0.369724,93500,-0.600978,82.649254,0.559737,16.8556,0.060651,-3.930855,-0.028556,1.706363,0.154136,0.085785,3,-0.353707,2,"Low"
1044,26099258300,,40.340909,-0.730339,17.777778,-1.24398,6.666667,0.495388,54.139434,-0.117332,42.569096,-1.177506,13.097727,-1.177506,-1.158511,71.448931,-0.871844,-0.686303,2,2.946274,0.304223,43300,-0.392439,12.5,0.313925,-21.653605,-0.204105,0.005401,3,3.913405,0.801737,88300,-0.663689,72.443674,0.085577,20.7726,-0.185477,-7.657633,-0.0309,1.447619,0.160984,0.028039,3,-0.217621,2,"Low"
1045,26099258400,,23.562152,0.007525,22.558923,-1.74231,0,1.030708,39.976959,-0.95156,42.569096,-1.177506,13.097727,-1.177506,-1.158511,71.448931,-0.871844,-0.694785,2,3.021583,0.28781,42883,-0.407863,14.635023,0.106591,-20.806473,-0.131758,-0.036305,2,3.382762,0.847517,83900,-0.716752,81.486811,0.505729,18.544,-0.045441,-7.312469,-0.030683,0.970689,0.173608,0.122329,3,-0.20292,2,"Low"
1046,26099258600,,29.094989,-0.235787,2.266289,0.372742,35.977337,-1.8582,52.033105,-0.241403,42.569096,-1.177506,13.097727,-1.177506,-1.158511,71.448931,-0.871844,-0.738644,1,4.4991,-0.034221,42756,-0.41256,19.903339,-0.40502,-28.709588,-0.806702,-0.414626,2,13.894628,-0.059362,92300,-0.615449,68.686263,-0.088995,23.4057,-0.35093,-4.641472,-0.029003,1.179941,0.168069,-0.162612,2,-0.438627,2,"Low"
1047,26099258700,,22.772277,0.042261,13.824885,-0.831982,16.589862,-0.301424,52.895981,-0.190576,42.569096,-1.177506,13.097727,-1.177506,-1.158511,71.448931,-0.871844,-0.641369,2,4.352557,-0.002281,47215,-0.247638,18.444597,-0.26336,-21.753318,-0.212621,-0.181475,2,9.813543,0.292721,86300,-0.687808,82.807399,0.567084,12.5573,0.330738,-9.691479,-0.03218,1.500577,0.159582,0.105023,3,-0.239274,2,"Low"
1048,26099258800,,17.557252,0.271598,0,0.608952,0,1.030708,50.338983,-0.341194,42.569096,-1.177506,13.097727,-1.177506,-1.158511,71.448931,-0.871844,-0.233971,2,2.749141,0.347189,58698,0.177074,5.898567,0.954997,-22.427294,-0.27018,0.30227,4,6.25,0.600155,105200,-0.459877,91.271478,0.960332,10.3801,0.467544,3.083371,-0.024145,1.331019,0.16407,0.28468,4,0.11766,3,"Moderate"
1049,26099260000,,4.775281,0.833699,2.512563,0.347074,33.165829,-1.63244,58.649603,0.148336,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.040397,3,0.729927,0.787284,63750,0.363928,12.998713,0.265495,-15.048196,0.360012,0.44418,4,3.445576,0.842098,133600,-0.117377,96.512571,1.203837,3.524641,0.898312,-5.717997,-0.02968,2.473282,0.133837,0.488504,5,0.32436,4,"High"
1050,26099260100,,20.963173,0.121818,13.043478,-0.750538,0,1.030708,43.594646,-0.738463,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.035662,3,3.526819,0.177692,50589,-0.122847,5.01548,1.040754,-15.473083,0.323726,0.354831,4,6.202619,0.604242,132800,-0.127025,63.041881,-0.351237,9.814755,0.503068,-0.645713,-0.02649,4.747055,0.073654,0.112702,3,0.167732,3,"Moderate"
1051,26099260200,,4.469274,0.847156,0,0.608952,18,-0.414655,55.09123,-0.061267,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.223756,3,0,0.946375,69861,0.589951,9.450549,0.61006,-14.522289,0.404926,0.637828,5,3.430353,0.843411,137100,-0.075168,94.402583,1.105806,2.402023,0.968853,-1.926176,-0.027296,4.716157,0.074472,0.48168,5,0.447755,4,"High"
1052,26099260300,,22.265625,0.064542,0.892857,0.515892,21.428571,-0.689962,59.70696,0.210619,67.077672,0.278082,41.772779,0.278082,0.284678,49.114154,0.023348,0.098171,3,3.464948,0.191177,57091,0.117637,15.149197,0.056659,-14.220966,0.430659,0.199033,3,5.842185,0.635338,150000,0.080404,93.150685,1.047641,7.59889,0.642304,-8.377401,-0.031353,4.540655,0.079117,0.408908,4,0.235371,3,"Moderate"
