OBJECTID,FIPS,NAMELSAD10,Childhood Poverty,High School Dropout Rate,"Persons 16-19 No HS Diploma, Unemployed",High school Completion,"Reading, School proficiency rates of three nearest in-district primary schools","Math, School proficiency rates of three nearest in-district primary schools",Percent of students receiving free or reduced price lunches,Percent of households receiving a form of public assistance,Median Household Income,Unemployment Rate,Change in jobs within a 5 mile radius,Vacant Property,Property Values,Homeownership rates,Poverty Rates,Percent change in population from 2000-2010.,Kirwan Opportunity Index,Kirwan Opportunity Index Ordinal Categories
826,26125142000,Census Tract 1420,71.428571,23.076923,22.307692,45.148248,40.980223,13.058962,74.750178,0,27287,19.599303,-25.288274,33.284778,68500,58.406114,45.392,-26.325913,-0.772382,Very Low
827,26125142100,Census Tract 1421,31.077694,12.790698,19.767442,41.813899,40.980223,13.058962,74.750178,1.899827,21101,24.177396,-31.822625,36.790393,24900,27.288428,33.1976,-36.692143,-0.861512,Very Low
828,26125142200,Census Tract 1422,70.030581,0,18.84058,40.507565,40.980223,13.058962,74.750178,14.912281,12500,37.248322,-37.265997,14.384749,75500,28.879892,53.8439,-20.25965,-1.204966,Very Low
829,26125142300,Census Tract 1423,60,0,30.573248,24.622166,40.980223,13.058962,74.750178,10.526316,19756,30.864198,-29.864731,10.798122,83100,28.684211,36.3756,-5.806049,-0.990125,Very Low
830,26125142400,Census Tract 1424,51.106195,8.759124,4.379562,42.102367,40.980223,13.058962,74.750178,11.692559,27925,19.471947,-33.970622,24.87715,58300,59.362224,36.9422,-7.604257,-0.798656,Very Low
831,26125142500,Census Tract 1425,22.222222,0,29.464286,50.47619,40.980223,13.058962,74.750178,7.216495,40817,24.197531,-31.88495,24.387528,98300,62.002946,23.0183,-43.494587,-0.599038,Low
832,26125142700,Census Tract 1427,38.249754,1.677852,36.241611,51.757435,40.980223,13.058962,74.750178,6.998739,37038,24.985994,-44.055614,19.696203,76700,59.64691,22.3369,-20.598218,-0.741849,Very Low
833,26125143500,Census Tract 1435,11.372549,13.473684,13.473684,58.602941,65.788687,31.240217,44.098316,1.870824,71563,14.505777,-26.548488,6.53622,173800,90.378619,9.24341,-4.980092,0.200295,Moderate
834,26125144100,Census Tract 1441,21.698113,12.698413,11.904762,61.182164,65.788687,31.240217,44.098316,1.669648,56064,8.463542,-25.737562,10.368787,149500,84.317233,11.844,-3.478244,0.146784,Moderate
835,26125144500,Census Tract 1445,3.703704,0,14.035088,69.758454,65.788687,31.240217,44.098316,4.830508,72946,12.777053,-24.965041,9.578544,179200,92.542373,5.882353,-3.972573,0.293208,High
836,26125144600,Census Tract 1446,4.677755,0,4.109589,59.859626,65.788687,31.240217,44.098316,1.746725,69180,11.183295,-24.965041,3.781513,156900,80.099813,4.048086,-4.35074,0.346125,High
837,26125144701,Census Tract 1447.01,67.147271,0,0,52.248493,65.788687,31.240217,44.098316,9.322561,31260,9.74478,-23.734782,11.006637,106100,51.709136,33.1,26.029494,-0.26525,Low
838,26125144900,Census Tract 1449,5.957944,3.269755,22.888283,50.260999,65.788687,31.240217,44.098316,1.085271,41707,16.970199,-22.071345,9.24015,133000,55.452196,9.894586,-8.701602,0.003665,Moderate
839,26125145100,Census Tract 1451,7.116788,0,25,63.545568,65.788687,31.240217,44.098316,0.663717,64583,16.339286,-22.454814,4.64135,137000,88.384956,6.432749,2.427387,0.247616,Moderate
840,26125145200,Census Tract 1452,8.567416,12.173913,20.869565,72.231544,65.788687,31.240217,44.098316,3.984576,56090,9.391992,23.766595,4.773562,166800,60.861183,5.651398,1.731046,0.475898,High
841,26125145300,Census Tract 1453,24.75,3.846154,11.923077,63.02465,65.788687,31.240217,44.098316,1.618304,51400,13.482217,-22.278998,9.357613,127400,77.622768,14.5077,-0.742091,0.123126,Moderate
842,26125145400,Census Tract 1454,39.029126,5.627706,9.52381,65.54955,65.788687,31.240217,44.098316,2.03471,54073,10.243056,-21.006072,13.014055,157700,77.438659,19.4733,-10.266404,0.121661,Moderate
843,26125145502,Census Tract 1455.02,15.305067,30.927835,8.762887,60.72381,65.788687,31.240217,44.098316,0.557621,56795,9.181732,-18.556448,3.4689,167700,70.755886,11.4031,-0.913607,0.160425,Moderate
844,26125145700,Census Tract 1457,10.133843,28.742515,5.389222,55.985736,65.788687,31.240217,44.098316,3.110273,51144,8.795014,-24.509689,10.464135,127900,70.499529,8.752556,-33.850538,0.024843,Moderate
845,26125145900,Census Tract 1459,44.236311,0,5.371901,51.207464,65.788687,31.240217,44.098316,4.580745,32188,17.599411,-23.618687,6.122449,132700,33.618012,27.229,-4.742821,-0.21109,Low
846,26125150000,Census Tract 1500,26.131687,0,3.75,84.579439,83.011218,69.648882,9.598331,1.195559,77826,5.836271,-27.343153,8.048685,242400,89.325363,9.333835,-9.493761,0.684735,Very High
