OBJECTID,FIPS,NAMELSAD10,Childhood Poverty,High School Dropout Rate,"Persons 16-19 No HS Diploma, Unemployed",High school Completion,"Reading, School proficiency rates of three nearest in-district primary schools","Math, School proficiency rates of three nearest in-district primary schools",Percent of students receiving free or reduced price lunches,Percent of households receiving a form of public assistance,Median Household Income,Unemployment Rate,Change in jobs within a 5 mile radius,Vacant Property,Property Values,Homeownership rates,Poverty Rates,Percent change in population from 2000-2010.,Kirwan Opportunity Index,Kirwan Opportunity Index Ordinal Categories
1,26163500200,Census Tract 5002,48.025712,5.263158,28.421053,54.380841,40.392939,13.108205,80.048737,8.079848,33889,18.434783,-22.841963,13.344316,85000,70.057034,32.1047,-4.774987,-0.561452,Low
2,26163500700,Census Tract 5007,34.534535,5.225653,17.814727,52.767216,40.392939,13.108205,80.048737,7.600281,30638,26.588465,-24.220764,21.923077,85800,56.439127,27.5932,-7.882468,-0.629579,Low
3,26163501200,Census Tract 5012,65.688073,26.451613,47.741935,40,40.392939,13.108205,80.048737,11.522048,27324,21.441774,-24.786437,30.670611,56800,51.493599,41.8111,-35.211083,-1.12909,Very Low
4,26163503100,Census Tract 5031,24.484182,0,31.531532,44.585987,40.392939,13.108205,80.048737,11.346766,45632,28.549962,-22.841963,15.426009,73000,83.88123,25.9713,-8.938912,-0.595337,Low
5,26163503400,Census Tract 5034,31.470588,2.134146,32.621951,28.009535,40.392939,13.108205,80.048737,4.255319,40859,29.228856,-22.213872,30.059524,61800,72.340426,16.8733,-45.039458,-0.642034,Low
6,26163504200,Census Tract 5042,64.969136,16.176471,13.970588,32.68206,40.392939,13.108205,80.048737,12.571429,23663,22.222222,-24.577136,39.446367,69400,56.142857,48.194,-41.871814,-1.050306,Very Low
7,26163504900,Census Tract 5049,39.565217,7.191781,19.178082,43.984134,40.392939,13.108205,80.048737,7.424242,34912,26.137092,-24.608973,10.142954,73800,69.924242,29.4806,-15.07811,-0.589814,Low
8,26163506100,Census Tract 5061,38.074398,0,22.981366,42.161636,40.392939,13.108205,80.048737,11.889251,25357,40,-26.366637,28.852839,70900,79.478827,28.7343,-19.832496,-0.878444,Very Low
9,26163506400,Census Tract 5064,87.878788,28.881988,9.31677,29.558205,40.392939,13.108205,80.048737,8.128544,26771,18.956044,-24.577673,23.994253,48700,56.332703,58.874,-26.618398,-0.998416,Very Low
10,26163507000,Census Tract 5070,70.514166,0,22.807018,45.273312,40.392939,13.108205,80.048737,15.096251,23934,41.038198,-23.092891,26.943005,68500,59.675785,49.7812,-10.960403,-1.095517,Very Low
11,26163507500,Census Tract 5075,54.230377,0,18.80597,32.774194,40.392939,13.108205,80.048737,10.48218,22134,30.230769,-26.078417,25.526932,54200,49.685535,42.7603,-22.053848,-0.941789,Very Low
12,26163510500,Census Tract 5105,86.070158,3.225806,8.387097,28.221709,40.392939,13.108205,80.048737,11.770524,17467,27.171109,-24.752841,36.930755,32500,49.950544,70.9528,-17.136136,-1.162892,Very Low
13,26163511300,Census Tract 5113,67.902542,8.189655,24.137931,32.372654,40.392939,13.108205,80.048737,12.686567,23148,31.238616,-25.160676,40.044743,41800,53.358209,55.0602,-44.946107,-1.200831,Very Low
14,26163512300,Census Tract 5123,75.708502,19.512195,0,27.366448,40.392939,13.108205,80.048737,15.738162,14605,34.71223,-45.269666,22.62931,29400,24.512535,57.8826,-15.451371,-1.455349,Very Low
15,26163513200,Census Tract 5132,41.118421,9.863946,17.006803,36.99187,40.392939,13.108205,80.048737,4.497354,24847,33.077905,-26.635002,27.097396,51200,42.460317,29.0398,-33.857583,-0.838663,Very Low
16,26163514100,Census Tract 5141,79.643232,8.444444,26.666667,34.339623,40.392939,13.108205,80.048737,17.319964,17111,41.696535,-24.804536,39.989059,51100,58.887876,56.6558,-32.303382,-1.378032,Very Low
17,26163515300,Census Tract 5153,48.009368,28.947368,55.263158,44.269142,40.392939,13.108205,80.048737,6.30892,20805,25.641026,-25.226811,24.891068,63700,17.113851,33.93,-3.89387,-1.106039,Very Low
18,26163516000,Census Tract 5160,29.704142,25.984252,41.732283,42.818281,40.392939,13.108205,80.048737,10.891089,30139,51.059002,-25.894048,33.727034,56500,70.693069,35.0535,-34.159078,-1.207122,Very Low
19,26163516400,Census Tract 5164,38.306452,51.807229,0,48.175182,40.392939,13.108205,80.048737,6.666667,33621,26.39821,-25.419408,35.483871,62100,43.095238,38.3302,-36.880872,-0.979491,Very Low
20,26163516800,Census Tract 5168,89.52381,5.696203,44.303797,40,40.392939,13.108205,80.048737,10.776942,19875,47.972973,-25.312026,40.17991,50200,64.912281,59.899,-43.262939,-1.393979,Very Low
21,26163517300,Census Tract 5173,87.62215,24.342105,13.157895,64.72973,40.392939,13.108205,80.048737,14.821764,18472,38.934426,-23.390315,55.021097,204900,32.457786,53.604,-12.111236,-1.305329,Very Low
22,26163518500,Census Tract 5185,55.974843,0,54.225352,26.26832,40.392939,13.108205,80.048737,7.253886,24500,32.5,-25.312026,47.696477,33800,53.88601,44.3182,-41.946158,-1.157306,Very Low
23,26163520300,Census Tract 5203,7.526882,0,0,68.535826,40.392939,13.108205,80.048737,4.403244,17936,4.804469,-25.058906,36.730205,214100,15.179606,52.2741,-5.277547,-0.442925,Low
24,26163985000,Census Tract 9850,0,0,0,17.857143,40.392939,13.108205,80.048737,0,34712,100,-8.094563,54,0,56.521739,0,-92.194065,-1.115931,Very Low
25,26163985500,Census Tract 9855,0,0,0,0,40.392939,13.108205,80.048737,0,0,0,-25.95073,0,0,0,0,-84.285714,-0.518952,Low
26,26163520700,Census Tract 5207,77.358491,15.517241,0,50.547645,40.392939,13.108205,80.048737,1.737452,17250,15.834633,-23.45475,29.427793,0,0.707851,43.9315,17.481472,-0.756464,Very Low
27,26163520800,Census Tract 5208,29.411765,0,60,84.654995,40.392939,13.108205,80.048737,0,45139,5.014749,-24.256673,20.833333,155800,15.667075,17.2719,24.045989,-0.37561,Low
28,26163521100,Census Tract 5211,74.047619,3.174603,0,31.107354,40.392939,13.108205,80.048737,9.574468,16207,17.109635,-22.517986,32.777116,55000,53.191489,51.2034,4.350407,-0.862036,Very Low
29,26163521300,Census Tract 5213,12.874251,9.090909,0,53.846154,40.392939,13.108205,80.048737,6.764706,33827,16.937355,-24.319425,25.274725,69400,84.705882,29.3551,2.952312,-0.428344,Low
30,26163523200,Census Tract 5232,64.366449,22.906404,10.837438,26.401369,40.392939,13.108205,80.048737,2.732794,33056,20.450607,-6.755971,30.56922,64900,56.174089,46.9265,-17.844785,-0.686782,Very Low
31,26163523400,Census Tract 5234,58.189655,0,25.490196,16.484185,40.392939,13.108205,80.048737,20.406091,16422,31.573987,-25.049777,17.157275,63600,27.715736,38.2075,-5.845996,-1.220566,Very Low
32,26163524500,Census Tract 5245,54.80315,64.788732,16.901408,28.426396,40.392939,13.108205,80.048737,10.930233,28298,16.910569,-16.001442,15.686275,61100,40,40.4624,-22.290139,-1.062642,Very Low
33,26163525400,Census Tract 5254,40.409207,20.192308,11.538462,26.284751,40.392939,13.108205,80.048737,9.027778,11705,28.897338,-9.58175,37.931034,48000,43.75,41.5313,-24.303039,-0.96577,Very Low
34,26163525800,Census Tract 5258,82.315789,9.722222,1.388889,15.963855,40.392939,13.108205,80.048737,3.61991,21667,24.217687,-21.319525,42.522757,48200,45.927602,57.1429,-15.975132,-0.967444,Very Low
35,26163526300,Census Tract 5263,42.502005,17.684887,10.289389,13.536047,40.392939,13.108205,80.048737,11.172669,26589,27.498002,-21.13959,30.353698,50000,47.830102,43.8554,-24.683562,-1.001476,Very Low
36,26163530200,Census Tract 5302,36.057692,0,6.153846,52.393822,40.392939,13.108205,80.048737,9.610215,26514,20.599667,-21.687988,19.436925,85000,47.715054,30.5008,-19.066969,-0.569479,Low
37,26163530900,Census Tract 5309,59.319287,4.878049,7.317073,31.675676,40.392939,13.108205,80.048737,13.663535,14782,35.643564,-24.745995,44.790193,49800,31.853117,46.4136,-42.467543,-1.212135,Very Low
38,26163531300,Census Tract 5313,19.565217,6.024096,34.337349,52.564103,40.392939,13.108205,80.048737,11.428571,23144,36.429872,-23.799719,38.668224,58600,35.047619,32.3276,-22.375478,-1.030154,Very Low
39,26163531700,Census Tract 5317,73.826458,18.881119,45.454545,37.395659,40.392939,13.108205,80.048737,19.078947,18093,33.333333,-22.715703,37.190083,51800,38.815789,53.4434,-25.881103,-1.463124,Very Low
40,26163532400,Census Tract 5324,32.931727,0,0,43.813016,40.392939,13.108205,80.048737,12.142857,14583,34.855403,-20.73444,32.104753,33100,25.571429,39.5553,-29.994307,-0.954043,Very Low
41,26163533100,Census Tract 5331,74.038462,12.734082,7.116105,54.631083,40.392939,13.108205,80.048737,7.09988,19847,37.59058,-22.458535,32.163265,76000,25.872443,53.6013,-29.247958,-1.049504,Very Low
42,26163533500,Census Tract 5335,86.774194,29.032258,41.935484,34.137056,40.392939,13.108205,80.048737,2.376238,30048,37.190083,-7.778215,41.954023,63000,40.990099,44.0887,-32.124625,-1.111967,Very Low
43,26163534100,Census Tract 5341,43.604651,52.380952,0,42.011019,40.392939,13.108205,80.048737,5.847255,22404,31.445087,-11.15587,40.860974,81200,22.195704,39.7082,-27.511848,-1.028174,Very Low
44,26163534600,Census Tract 5346,51.497006,33.830846,37.313433,32.221434,40.392939,13.108205,80.048737,17.036173,20721,24.320458,-20.347391,29.81163,45200,57.64294,43.5749,-36.312804,-1.227838,Very Low
45,26163535400,Census Tract 5354,76.748582,11.111111,32.098765,43.515038,40.392939,13.108205,80.048737,12.258953,21667,30.529595,-22.19628,4.095112,72500,51.652893,43.1282,-27.786451,-0.970194,Very Low
46,26163535700,Census Tract 5357,33.585859,24.675325,13.419913,49.600912,40.392939,13.108205,80.048737,11.401869,30265,31.188119,-19.623296,28.761651,81400,42.429907,32.4198,-24.706967,-0.893963,Very Low
47,26163536400,Census Tract 5364,48.731884,10.322581,10.322581,27.199622,40.392939,13.108205,80.048737,10.912343,23148,30.769231,-22.878347,26.832461,53600,61.270125,38.9754,-32.565124,-0.914804,Very Low
48,26163536800,Census Tract 5368,35.608309,0,0,35.56797,40.392939,13.108205,80.048737,4.703833,26754,17.713366,-24.901018,32.1513,65800,78.222997,23.5218,-27.904024,-0.498933,Low
49,26163537500,Census Tract 5375,57.766367,23.75,5.416667,46.289569,40.392939,13.108205,80.048737,5.87103,29740,18.701095,-38.43097,23.264402,85100,62.848893,32.7581,-23.273753,-0.76516,Very Low
50,26163538100,Census Tract 5381,16.393443,0.869565,13.913043,72.617681,40.392939,13.108205,80.048737,4.651163,55813,26.442308,-27.051029,12.753623,131500,85.160576,16.1372,-14.061167,-0.207758,Low
51,26163539100,Census Tract 5391,19.672131,48.031496,22.047244,49.45424,40.392939,13.108205,80.048737,7.620529,30576,20.423601,-31.684431,26.261468,59000,83.514774,18.5462,-18.413438,-0.797942,Very Low
52,26163539600,Census Tract 5396,27.259036,0,14.746544,50.807508,40.392939,13.108205,80.048737,8.092486,42174,30.87159,-32.044939,12.182741,87300,76.465731,21.0575,-4.975218,-0.526951,Low
53,26163540400,Census Tract 5404,11.179173,11.71875,0,59.085714,40.392939,13.108205,80.048737,7.461328,29186,25.915751,-29.420078,16.362253,95600,53.321201,19.469,-24.665356,-0.517123,Low
54,26163540900,Census Tract 5409,23.541888,2.025316,14.936709,54.832499,40.392939,13.108205,80.048737,4.466313,41973,19.614512,-18.905322,12.920237,91600,82.891749,19.1735,-14.731706,-0.243811,Low
55,26163541200,Census Tract 5412,65.418719,0,31.25,42.108939,40.392939,13.108205,80.048737,8.664628,18739,32.111001,-17.050165,29.220779,65200,32.212029,50.281,-27.711471,-1.008247,Very Low
56,26163541700,Census Tract 5417,42.475728,0,0,52.631579,40.392939,13.108205,80.048737,6.378378,19230,29.28475,-17.697829,26.87747,88600,24.216216,35.4134,-11.429098,-0.685106,Very Low
57,26163542400,Census Tract 5424,21.973094,0,0,53.258955,40.392939,13.108205,80.048737,9.905163,31580,23.730298,-26.968133,23.157895,82800,64.067439,12.6543,-21.887368,-0.496307,Low
58,26163542800,Census Tract 5428,14.16804,0,28.169014,59.138597,40.392939,13.108205,80.048737,1.941748,47049,9.69023,-25.41079,6.78733,90500,88.058252,11.203,-13.315407,-0.100307,Low
59,26163543400,Census Tract 5434,58.759843,5.91716,19.230769,52.141724,40.392939,13.108205,80.048737,2.526799,33864,24.175824,-26.856605,10.24055,90800,59.954058,33.8146,-19.281847,-0.543985,Low
60,26163543500,Census Tract 5435,47.375691,24,43.555556,23.755869,40.392939,13.108205,80.048737,17.719569,12330,56.283422,-26.970101,27.323628,73100,28.35131,60.1278,-41.180013,-1.665733,Very Low
61,26163543600,Census Tract 5436,91.015625,16.428571,32.142857,45.649718,40.392939,13.108205,80.048737,11.484099,20197,22.699387,-25.000078,43.512974,55400,61.130742,58.1191,-48.492018,-1.190477,Very Low
62,26163543700,Census Tract 5437,43.607306,0,11.340206,38.503507,40.392939,13.108205,80.048737,23.259259,25630,31.521739,-25.708776,40.580986,58400,32.444444,44.2422,-23.155729,-1.227472,Very Low
63,26163543800,Census Tract 5438,100,5.882353,0,33.397313,40.392939,13.108205,80.048737,3.712871,18804,55.802469,-25.000078,47.051114,75800,44.059406,69.5198,-49.302052,-1.298523,Very Low
64,26163543900,Census Tract 5439,50.925926,27.472527,21.978022,25.508607,40.392939,13.108205,80.048737,12.972973,27222,39.348371,-25.65079,44.527736,80000,28.648649,46.1454,-39.988217,-1.379142,Very Low
65,26163544300,Census Tract 5443,68.516984,5.924171,0,45.703125,40.392939,13.108205,80.048737,3.510274,25000,32.898172,-30.34563,17.630465,72600,51.027397,53.7628,-24.038529,-0.801954,Very Low
66,26163545400,Census Tract 5454,56.923077,0,0,34.339623,40.392939,13.108205,80.048737,23.308271,12903,26.199262,-14.436988,25.698324,72400,12.030075,56.8027,1.393898,-1.210832,Very Low
67,26163545900,Census Tract 5459,45.263158,8.080808,5.555556,39.08046,40.392939,13.108205,80.048737,6.730066,34799,22.395833,-17.43159,26.028139,73600,66.349671,35.2969,-13.376978,-0.575888,Low
68,26163546400,Census Tract 5464,44.42446,0,11.594203,40.286832,40.392939,13.108205,80.048737,20.773931,27739,28.524046,-28.950862,20.550162,66400,49.898167,35.6183,-26.072995,-1.015206,Very Low
69,26163546600,Census Tract 5466,32.481752,8.666667,15.333333,53.702197,40.392939,13.108205,80.048737,15.138282,35375,21.274602,-16.926951,34.321224,81700,51.965066,22.4926,-22.599889,-0.723672,Very Low
70,26163552300,Census Tract 5523,67.711599,11.188811,20.979021,31.356322,43.153619,26.496883,88.2494,13.096271,23693,25.034674,-24.303076,23.894389,64200,43.191674,50.7605,-4.316738,-1.029343,Very Low
71,26163553200,Census Tract 5532,88.435374,24.390244,0,44.038462,29.233333,7.713846,72.182821,10.297483,15688,15.608466,-20.8592,39.13649,62500,38.443936,77.5862,-48.013743,-1.185032,Very Low
72,26163553800,Census Tract 5538,50.578512,11.428571,18.857143,44.08867,29.233333,7.713846,72.182821,3.125,25429,16.585366,-22.22393,46.619842,55100,55.592105,44.5344,-38.841277,-0.807076,Very Low
73,26163521400,Census Tract 5214,58.933333,8.695652,0,44.763092,40.392939,13.108205,80.048737,9.161793,33932,24.253076,-24.17842,20.093458,138900,39.766082,38.0151,-5.428761,-0.714736,Very Low
74,26163521500,Census Tract 5215,48.8,0,0,51.157663,40.392939,13.108205,80.048737,8.19398,22330,28.518057,-21.360536,39.165819,36700,21.906355,36.0062,-13.63823,-0.844764,Very Low
75,26163521800,Census Tract 5218,40.594059,0,0,47.41533,40.392939,13.108205,80.048737,5.702648,11996,28.899083,-23.366546,19.771242,0,10.794297,43.1287,494.865207,-0.775197,Very Low
76,26163521900,Census Tract 5219,60.969977,0,0,54.168998,40.392939,13.108205,80.048737,6.956522,24375,14.974055,-23.054444,26.423544,121700,27.478261,41.1043,-7.302851,-0.6242,Low
77,26163522100,Census Tract 5221,84.353741,0,9.009009,22.595078,40.392939,13.108205,80.048737,3.107345,14868,46.101695,-22.58827,42.995169,52900,47.457627,57.3834,-48.792161,-1.142959,Very Low
78,26163522200,Census Tract 5222,90.566038,0,0,36.77686,40.392939,13.108205,80.048737,0,19483,35.087719,-19.935349,47.096774,54000,54.878049,46.5704,-50.652785,-0.895213,Very Low
79,26163522300,Census Tract 5223,86.666667,0,0,36.298077,40.392939,13.108205,80.048737,17.816092,11824,25.187406,-22.563677,39.457203,44700,22.413793,60.6717,-38.373007,-1.246503,Very Low
80,26163522400,Census Tract 5224,92.333333,26.315789,0,41.22807,40.392939,13.108205,80.048737,10.645724,13503,20,-23.027657,24.406332,55200,10.122164,61.2737,-29.011507,-1.17068,Very Low
81,26163522500,Census Tract 5225,84.722222,34.482759,0,40.935673,40.392939,13.108205,80.048737,8.985201,9347,24.726135,-23.45475,37.142857,47100,3.59408,67.4403,-55.295836,-1.306866,Very Low
82,26163523100,Census Tract 5231,36.54321,0,18.518519,7.428571,40.392939,13.108205,80.048737,23.762376,29167,29.421488,-10.565272,22.007722,44600,56.188119,26.8085,-18.073413,-1.012765,Very Low
83,26163523300,Census Tract 5233,64.654418,9.285714,0,12.665862,40.392939,13.108205,80.048737,13.882863,20147,17.477097,-7.377319,29.618321,54000,36.117137,45.003,-15.216676,-0.891503,Very Low
84,26163523800,Census Tract 5238,42.933907,14.215686,28.676471,10.878324,40.392939,13.108205,80.048737,10.517666,31046,25.611511,-19.00073,26.331719,59600,51.273624,32.7562,-18.446241,-0.928601,Very Low
85,26163524000,Census Tract 5240,48.424289,35.769231,15.769231,26.881134,40.392939,13.108205,80.048737,16.839677,29716,20.816653,-16.600564,28.759244,54700,43.137255,38.3141,-11.219665,-1.083996,Very Low
86,26163524100,Census Tract 5241,41.848234,28.823529,27.058824,21.90843,40.392939,13.108205,80.048737,5.653451,25977,15.543071,-14.356117,24.164811,64600,45.741557,34.2899,-19.488832,-0.782215,Very Low
87,26163524200,Census Tract 5242,61.179625,33.512064,12.064343,16.512821,40.392939,13.108205,80.048737,11.655172,30550,23.171307,-17.242743,28.571429,67000,44.965517,44.5262,-13.406087,-1.038219,Very Low
88,26163524300,Census Tract 5243,50.243902,14.43299,5.154639,17.314022,40.392939,13.108205,80.048737,20.04662,25978,17.583408,-19.098391,22.702703,57900,46.620047,37.8904,-13.05582,-0.99083,Very Low
89,26163524700,Census Tract 5247,30.308219,12.106538,16.949153,35.890653,40.392939,13.108205,80.048737,4.481793,31626,34.184397,-30.638284,18.567518,67500,69.131653,22.9186,-21.065518,-0.6942,Very Low
90,26163524800,Census Tract 5248,59.324759,11.184211,18.092105,44.094488,40.392939,13.108205,80.048737,8.641975,24773,32.49497,-13.409276,20.421053,58200,64.814815,41.3029,-22.948301,-0.787624,Very Low
91,26163524900,Census Tract 5249,44.098361,18.823529,8.823529,22.723795,40.392939,13.108205,80.048737,18.99529,26639,27.549947,-9.398823,18.542199,41600,60.43956,32.1134,-24.412877,-0.935624,Very Low
92,26163525000,Census Tract 5250,70.454545,6.024096,0,14.965197,40.392939,13.108205,80.048737,13.513514,25524,23.224568,-22.359592,32.279534,67800,45.945946,52.5952,-45.488472,-1.04553,Very Low
93,26163525500,Census Tract 5255,36.654804,0,9.302326,32.48227,40.392939,13.108205,80.048737,10.263158,29138,11.622276,-10.565272,36.666667,70300,52.631579,33.6822,-30.899208,-0.615503,Low
94,26163525600,Census Tract 5256,71.777778,15.044248,19.469027,14.0625,40.392939,13.108205,80.048737,7.614213,15000,16.611842,-10.565272,41.62963,55600,30.964467,44.7084,-26.165359,-0.997506,Very Low
95,26163525700,Census Tract 5257,36.335404,19.80198,2.970297,20.534676,40.392939,13.108205,80.048737,8.417508,27910,18.275058,-18.892615,25.972084,48900,54.208754,29.3519,-6.986615,-0.71755,Very Low
96,26163526000,Census Tract 5260,48.67408,73.134328,17.910448,20.351391,40.392939,13.108205,80.048737,6.992231,30707,18.352941,-22.034161,22.461274,54900,43.618202,43.9272,-10.137155,-1.118431,Very Low
97,26163526100,Census Tract 5261,51.094891,34.38914,18.552036,24.046076,40.392939,13.108205,80.048737,7.081807,27057,21.108179,-20.998936,13.607595,69600,48.840049,43.8258,-7.511039,-0.885702,Very Low
98,26163526200,Census Tract 5262,52.995008,38.285714,33.714286,18.131868,40.392939,13.108205,80.048737,8.047493,30682,26.175869,-22.789468,33.741259,53900,57.255937,46.3036,-11.319972,-1.135323,Very Low
99,26163526400,Census Tract 5264,48.387097,0,0,25.463918,40.392939,13.108205,80.048737,9.9631,26179,33.594976,-22.149612,20.527859,46700,46.863469,42.7507,-27.448412,-0.881032,Very Low
100,26163526500,Census Tract 5265,66.898955,16.455696,26.582278,29.829756,40.392939,13.108205,80.048737,19.433719,19178,35.546875,-20.347391,45.35865,51900,56.499356,49.6791,-30.227059,-1.363708,Very Low
101,26163527200,Census Tract 5272,33.453237,12.727273,18.181818,28.251121,40.392939,13.108205,80.048737,2.320186,22461,22.897196,-8.360144,45.373891,34100,63.573086,34.3842,-41.636075,-0.690573,Very Low
102,26163527300,Census Tract 5273,56.153846,0,12.280702,37.15847,40.392939,13.108205,80.048737,10.726644,18474,27.056277,-8.230657,39.029536,51800,41.349481,55.6042,-40.868288,-0.929548,Very Low
103,26163530100,Census Tract 5301,49.573864,20.833333,8.333333,49.637074,40.392939,13.108205,80.048737,8.069164,23804,39.362699,-20.915405,39.406286,53400,55.907781,39.3209,-27.320771,-0.975777,Very Low
104,26163530300,Census Tract 5303,77.256318,12.068966,22.126437,33.970276,40.392939,13.108205,80.048737,16.89441,17276,33.398058,-23.37208,23.333333,73300,40.372671,57.5145,-32.429592,-1.259262,Very Low
105,26163530400,Census Tract 5304,55.696203,8.849558,16.814159,53.732809,40.392939,13.108205,80.048737,11.661808,35000,25.986395,-23.278067,36.657433,63000,51.603499,31.1143,-24.611841,-0.856336,Very Low
106,26163530500,Census Tract 5305,32.056452,17.112299,31.016043,55.222969,40.392939,13.108205,80.048737,15.981199,32560,25.230769,-6.228666,31.756215,94100,51.351351,35.966,-22.804698,-0.836419,Very Low
107,26163530800,Census Tract 5308,70.588235,19.879518,40.361446,32.491228,40.392939,13.108205,80.048737,18.4573,17870,38.619677,-11.081673,49.513213,52100,37.465565,54.5,-39.572329,-1.466387,Very Low
108,26163531100,Census Tract 5311,55.776892,0,0,21.657754,40.392939,13.108205,80.048737,13.644524,16135,24.829157,-19.976729,44.742063,89800,26.391382,43.7383,-17.150567,-1.128829,Very Low
109,26163531200,Census Tract 5312,17.184644,8.536585,13.414634,52.164009,40.392939,13.108205,80.048737,7.683864,42561,21.093203,-22.219601,25.995126,82900,93.084523,13.7384,-26.916508,-0.390602,Low
110,26163531400,Census Tract 5314,60.462555,37.823834,15.544041,42.771084,40.392939,13.108205,80.048737,12.012012,28125,34.37877,-24.4089,36.328872,62000,51.801802,42.2089,-22.945573,-1.173511,Very Low
111,26163531500,Census Tract 5315,49.536424,0,29.019608,33.685728,40.392939,13.108205,80.048737,8.168761,19940,36.472347,-23.171316,46.570743,45900,29.982047,41.7176,-33.590863,-1.118387,Very Low
112,26163531600,Census Tract 5316,36.708861,0,19.2,61.538462,40.392939,13.108205,80.048737,9.463722,25746,44.91018,-24.135293,43.139013,64000,41.009464,30.9556,-27.147303,-0.968224,Very Low
113,26163531800,Census Tract 5318,54.302103,0,9.359606,32.642487,40.392939,13.108205,80.048737,11.84739,22845,26.715945,-21.918049,36.6815,50400,41.86747,37.0178,-40.958049,-0.934684,Very Low
114,26163531900,Census Tract 5319,92.307692,12.790698,0,34.227331,40.392939,13.108205,80.048737,11.111111,18958,67.041199,-22.571851,57.673267,53200,52.339181,62.1227,-29.047095,-1.5527,Very Low
115,26163532200,Census Tract 5322,24.342105,0,4.568528,45.19141,40.392939,13.108205,80.048737,14.828897,33418,29.840142,-20.73444,32.216495,68700,59.125475,20.1595,-26.176707,-0.716799,Very Low
116,26163532300,Census Tract 5323,0,0,51.111111,86.253776,40.392939,13.108205,80.048737,2.015113,63490,16.496599,-20.73444,24.952741,207800,82.871537,3.1893,-30.544578,-0.066988,Low
117,26163500100,Census Tract 5001,52.10728,0,32.312925,42.655367,40.392939,13.108205,80.048737,8.053167,38198,30.534826,-23.353547,23.914337,80300,65.67631,37.0412,-6.855667,-0.759316,Very Low
118,26163500300,Census Tract 5003,30.788382,6.829268,31.707317,36.859396,40.392939,13.108205,80.048737,6.65874,29495,32.469935,-22.937817,33.306899,72800,62.54459,34.0175,-31.982967,-0.830523,Very Low
119,26163500400,Census Tract 5004,92.592593,13.445378,52.10084,24.761905,40.392939,13.108205,80.048737,8.779443,21329,37.598425,-23.4655,49.404117,48800,40.042827,68.2563,-63.163063,-1.483277,Very Low
120,26163500500,Census Tract 5005,42.424242,0,23.529412,29.46896,40.392939,13.108205,80.048737,10.016155,34421,24.100719,-23.4655,35.115304,53500,74.47496,28.9959,-43.505708,-0.764662,Very Low
121,26163500600,Census Tract 5006,64.817881,11.228814,0,35.729276,40.392939,13.108205,80.048737,4.131535,32174,14.964676,-23.4655,31.445087,75000,54.55312,44.0519,-39.317629,-0.652763,Low
122,26163500800,Census Tract 5008,35.97263,0,28.272251,48.357664,40.392939,13.108205,80.048737,6.632653,41700,42.266667,-24.73296,5.31401,83100,67.55102,25.0431,-3.242778,-0.639033,Low
123,26163500900,Census Tract 5009,52.82318,11.678832,32.481752,40.53046,40.392939,13.108205,80.048737,9.266123,33361,29.514673,-24.497241,23.133903,67500,56.634544,35.6336,-12.734838,-0.884419,Very Low
124,26163501000,Census Tract 5010,51.896208,18.8,14.8,51.551189,40.392939,13.108205,80.048737,6.362855,29663,21.854305,-24.497241,18.614416,74300,61.392949,40.9798,-13.794773,-0.696658,Very Low
125,26163501100,Census Tract 5011,85.056295,24.220624,62.829736,38.729704,40.392939,13.108205,80.048737,14.273859,26908,33.498896,-24.577136,27.058111,75200,56.099585,52.3,-27.109827,-1.356753,Very Low
126,26163501300,Census Tract 5013,56.259205,17.283951,14.814815,45.374264,40.392939,13.108205,80.048737,9.164639,24917,32.869081,-25.6756,34.692797,67700,63.665856,41.3754,-32.984393,-0.96067,Very Low
127,26163501400,Census Tract 5014,26.785714,0,0,68.832392,40.392939,13.108205,80.048737,8.525346,45833,24.020443,-24.52367,21.376812,86400,77.112135,13.2527,-16.811531,-0.321899,Low
128,26163501500,Census Tract 5015,19.607843,16.334661,24.302789,47.676546,40.392939,13.108205,80.048737,1.860119,42344,19.924635,-23.36867,21.95122,85200,79.017857,17.1488,-5.005493,-0.398292,Low
129,26163501600,Census Tract 5016,32.874618,0,66.666667,61.167315,40.392939,13.108205,80.048737,5.882353,38083,26.935313,-21.883269,15.773509,75800,73.829532,23.7207,-5.486028,-0.632116,Low
130,26163501800,Census Tract 5018,21.794872,0,13.651877,67.801464,40.392939,13.108205,80.048737,6.094675,55306,11.35634,-23.971755,17.034855,94700,75.266272,14.0044,-16.229622,-0.165999,Low
131,26163501900,Census Tract 5019,55.439056,0,15.899582,40.011068,40.392939,13.108205,80.048737,11.336032,23819,21.79289,-25.520887,27.352941,98700,46.659919,40.8298,-24.742085,-0.827302,Very Low
132,26163502000,Census Tract 5020,56.410256,8.04878,19.756098,50.38961,40.392939,13.108205,80.048737,13.353116,27500,31.505484,-25.520887,43.4089,58500,55.341246,36.5577,-31.815984,-1.031841,Very Low
133,26163503200,Census Tract 5032,60.860794,11.549296,29.577465,40.475012,40.392939,13.108205,80.048737,7.023144,32624,38.79047,-22.396756,20.343293,69100,60.015962,42.3569,-25.252163,-0.914727,Very Low
134,26163503300,Census Tract 5033,52.937821,0,7.172996,39.380724,40.392939,13.108205,80.048737,14.318182,26702,32.215569,-21.822927,23.255814,65900,68.560606,39.4942,-25.441088,-0.833442,Very Low
