id,geoid,metro,region,lat,lon,year,oned_index,economy_index,education_index,equity_index,quality_of_life_index,transit_index,econ_exports,econ_gmp,econ_hightech,econ_kiemploy,econ_pcpi,econ_techpatents,econ_biztaxindex,edu_pctbachhigher2534,edu_pctbachhigher,edu_enrolled,edu_hsdiploma,edu_unemployednohs,edu_ppstatebudget,edu_ppspending,qol_aqi,qol_popchange,qol_popwohealthins,qol_vcrimert,qol_vthourspc,qol_obese,equity_fbpop,equity_gini,equity_incshareq1,equity_incshareq2,equity_incshareq3,equity_incshareq4,equity_incshareq5,equity_incsharetop5,equity_medhhincblack,equity_medhhinchisp,equity_medhhincwhite,equity_medhhinctotal,equity_childpovrtblack,equity_childpovrthisp,equity_childpovrtwhite,equity_childpovrttotal,equity_homeownershipblack,equity_homeownershiphisp,equity_homeownershipwhite,equity_homeownershiptotal,transit_hoursdelayedpc,transit_caralone,transit_novehicle,transit_bustrips,transit_statefunding
11,11,"Columbus-Marion-Chillicothe, OH",Midwest,39.96226010,-83.00070650,2009,2.2,1.17,2.53,2.38,3.26,1.66,2872727669.0,49230,0.1505,0.0554,39495.14,1.70,4.12,0.3948,0.3287,0.2014,0.889,0.009,5092.00,11132.00,0.7753,0.0117,0,370.40,0.304,0.372,0.0657,0.448,0.035,0.094,0.154,0.234,0.484,0.205,35254,39543,60698,56400,0.3981,0.3748,0.1261,0.187,0.3911,0.3683,0.6979,0.6428,37,0.9077,0.0218,17208.79,1.27
12,12,"Dallas-Fort Worth, TX",Southeast,32.78010520,-96.80000820,2009,2.24,1.96,2.27,2.43,3.03,1.49,19881823950.0,56083,0.1065,0.0802,43156.54,2.66,6.02,0.2863,0.3017,0.2251,0.8155,0.0095,7004.00,8722.00,0.4685,0.021,0,410.80,0.29,0.369,0.1754,0.463,0.036,0.089,0.146,0.228,0.501,0.223,41248,41427,74252,59407,0.3026,0.3064,0.0681,0.1924,0.4295,0.5025,0.7165,0.6246,45,0.9146,0.0224,48882.04,1.16
13,13,"Dayton-Springfield-Greenville, OH",Midwest,39.75894780,-84.19160690,2009,1.83,0.85,1.83,2.47,2.15,1.83,3771032292.0,41600,0.1241,0.0088,34877.00,1.83,4.12,0.2692,0.2471,0.1922,0.8784,0.012,5092.00,11132.00,0.6822,0,0,333.30,0,0.335,0.0297,0.442,0.035,0.094,0.155,0.238,0.478,0.197,30533,46415,54305,50104,0.4496,0.2944,0.1324,0.1934,0.4052,0.4856,0.7103,0.6599,26,0.9161,0.0267,6960.45,1.27
14,14,"Denver-Aurora-Boulder, CO",West,39.73915360,-104.98470340,2009,2.34,1.84,2.01,2.54,3.58,1.72,4309755210.0,59373,0.0682,0.0519,49016.58,2.02,5.89,0.364,0.374,0.2014,0.8778,0.0181,4588.00,8964.00,0.6055,0.0184,0,346.90,0.311,0.443,0.1215,0.455,0.035,0.092,0.151,0.231,0.49,0.216,36867,42564,72036,63906,0.3499,0.3186,0.065,0.1659,0.409,0.4783,0.7313,0.6672,42,0.851,0.0294,77222.05,4.85
15,15,"Detroit-Warren-Flint, MI",Midwest,42.34866350,-83.05673750,2009,1.68,1.18,1.92,2.3,1.39,1.6,28405159986.0,43399,-0.1029,-0.0633,39198.67,3.97,5.30,0.2924,0.2625,0.2103,0.8623,0.017,5829.00,10966.00,0.5315,-0.0064,0,1139.80,0.247,0.318,0.0867,0.457,0.033,0.089,0.151,0.238,0.489,0.206,33875,41719,62196,54747,0.425,0.358,0.1245,0.2201,0.4997,0.5945,0.8081,0.7298,39,0.9269,0.0284,51377.33,20.27
16,16,"Fresno-Madera, CA",Southwest,36.72944550,-119.70886061,2009,1.58,0.74,1.53,2.02,1.47,2.16,1659787127.0,33405,0.1502,0.1162,30107.17,0.34,4.00,0.1768,0.1926,0.2471,0.7317,0.0123,6574.00,9058.00,0.3397,0,0,510.90,0,0,0.2158,0.461,0.035,0.086,0.147,0.235,0.496,0.21,26354,38494,64916,49351,0.4637,0.3751,0.1126,0.3094,0.2927,0.4358,0.6714,0.5454,16,0.8904,0.0343,14062.02,41.44
17,17,"Grand Rapids-Muskegon-Holland, MI",Midwest,42.96335990,-85.66808630,2009,2.05,0.83,2.33,2.69,2.46,1.93,2408514541.0,39731,-0.0203,0.0218,31582.26,1.51,5.30,0.3009,0.2616,0.2149,0.8701,0.0086,5829.00,10966.00,0.7973,0,0,379.90,0,0.366,0.062,0.436,0.039,0.097,0.156,0.235,0.474,0.203,26873,35690,55945,52513,0.5547,0.3893,0.1193,0.1951,0.3673,0.4939,0.7898,0.7434,24,0.916,0.023,8865.69,20.27
18,18,"Greensboro-Winston-Salem-High Point, NC",Southeast,36.07263550,-79.79197540,2009,1.79,1.03,1.85,1.98,2.22,1.84,3168617536.0,46065,0.0542,0.0821,33627.40,1.03,4.74,0.2731,0.2583,0.1952,0.8294,0.0148,8260.00,8632.00,0.6923,0,0,479.20,0,0.373,0.0758,0.467,0.035,0.088,0.145,0.227,0.504,0.226,34422,33500,53539,46266,0.3358,0.3996,0.126,0.2268,0.4587,0.4858,0.744,0.6593,25,0.9267,0.026,4359.97,7.77
19,19,"Greenville-Spartanburg-Anderson, SC",Southeast,34.85123160,-82.39851050,2009,1.62,1.28,1.74,2.01,1.79,1.26,7912151052.0,36471,0.1939,0.1184,31639.61,2.59,5.21,0.3048,0.2698,0.1943,0.8232,0.0104,5242.00,9347.00,0.5479,0,0,0,0,0.387,0.0657,0.459,0.034,0.089,0.149,0.234,0.494,0.214,31285,32569,53352,47681,0.3997,0.3784,0.1335,0.2093,0.4714,0.3855,0.7522,0.6858,0,0.9256,0.0265,742.10,1.39
20,20,"Hartford-West Hartford-Willimantic, CT",Northeast,41.76559900,-72.69058501,2009,2.7,1.9,3.38,2.8,3.56,1.84,7542114070.0,68852,0.0972,0.0276,52582.45,3.43,4.81,0.3967,0.3461,0.1961,0.8826,0.0095,10294.00,15393.00,0.8055,0.0043,0,294.30,0.357,0.43,0.1198,0.445,0.035,0.093,0.157,0.236,0.479,0.205,46899,36267,78587,70599,0.2571,0.3563,0.0498,0.1311,0.4197,0.2915,0.7742,0.6895,35,0.8973,0.0301,14995.30,83.14
